Bronx;0;0.844253490870032;0.817400644468313;1;0.639097744360902;0.628356605800215;0.54672395273899;0.836734693877551;0.381310418904404;0.588614393125671
Brooklyn;0;0.980544747081712;0.897535667963684;0.988326848249028;0.630350194552529;0.651102464332036;0.805447470817121;1;0.51750972762646;0.596627756160831
Bedford Stuyvesant (CD3);0;0.907300115874855;0.797219003476246;0.886442641946698;0.59675550405562;0.691772885283894;0.778679026651217;1;0.573580533024334;0.667439165701043
Bensonhurst (CD11);0;0.994701986754967;0.93907284768212;1;0.614569536423841;0.550993377483444;0.797350993377484;0.947019867549669;0.419867549668875;0.525827814569536
Brownsville (CD16);0;0.941317365269461;0.867065868263473;0.934131736526946;0.640718562874251;0.694610778443114;0.8;1;0.584431137724551;0.665868263473054
Bushwick (CD4);0;0.942331288343558;0.857668711656442;0.930061349693251;0.619631901840491;0.694478527607362;0.777914110429448;1;0.565644171779141;0.641717791411043
Central Harlem (CD10);0;0.80859375;0.77734375;1;0.677734375;0.6923828125;0.7333984375;0.962890625;0.4970703125;0.6884765625
Coney Island (CD13);0;0.937072503419973;0.948016415868674;1;0.554035567715458;0.359781121751026;0.707250341997264;0.785225718194254;0.248974008207934;0.32421340629275
Financial District (CD1);0;0.741121495327103;0.57196261682243;0.702803738317757;0.495327102803738;0.653271028037383;0.742990654205608;1;0.532710280373832;0.646728971962617
Fresh Meadows;0;0.981132075471697;0.943396226415094;1;0.659119496855346;0.80125786163522;0.767295597484277;0.972327044025156;0.583647798742138;0.70440251572327
Jackson Heights (CD3);0;0.926918392204628;0.929354445797808;1;0.637028014616321;0.645554202192448;0.733252131546894;0.908647990255786;0.466504263093788;0.626065773447016
Manhattan;0;0.788032454361055;0.692697768762677;0.889452332657201;0.5973630831643;0.665314401622718;0.74340770791075;1;0.495943204868154;0.663286004056795
Midtown (CD5);0;0.645135566188198;0.528708133971292;0.649920255183413;0.501594896331738;0.590909090909091;0.791068580542265;1;0.553429027113238;0.680223285486443
New York City;0;0.980842911877395;0.906768837803321;1;0.637292464878672;0.685823754789272;0.745555555555556;0.998722860791827;0.452107279693487;0.582375478927203
Port Richmond;0;0.924444444444445;0.733333333333333;0.737777777777777;0.491111111111111;0.645555555555555;0.618888888888888;1;0.286666666666666;0.451111111111111
Queens;0;0.943790849673203;0.898039215686274;1;0.620915032679739;0.729411764705882;0.720261437908497;0.932026143790849;0.520261437908496;0.602614379084967
Staten Island;0;1;0.880473372781065;0.834319526627219;0.542011834319527;0.555029585798817;0.694674556213018;0.992899408284023;0.205917159763314;0.365680473372781
Sunset Park (CD7);0;0.929885057471264;0.79080459770115;0.887356321839081;0.586206896551724;0.696551724137931;0.771264367816092;1;0.540229885057472;0.567816091954023
Willowbrook;0;0.97337962962963;0.820601851851852;0.777777777777778;0.513888888888889;0.58912037037037;0.650462962962963;1;0.221064814814815;0.384259259259259
